risk_tolerance,investment_experience,liquidity_needs,time_spent,first_deposit_amount,time_horizon,churned_01
5,3,5,33.1294166667,40.0,3,0
3,3,5,16.5735166667,200.0,1,0
3,3,5,10.0083666667,25.0,5,0
3,3,5,1.03163333333,100.0,1,0
5,3,5,8.18725,20.0,5,0
3,1,1,12.9681166667,100.0,3,0
1,5,5,30.7100833333,5.0,5,0
5,5,3,0.0,100.0,1,0
5,5,5,0.0,5000.0,1,0
3,1,5,2.96961666667,11.0,3,0
3,1,5,9.4436,50.0,1,0
5,5,5,3.35893333333,1000.0,5,0
5,3,5,74.3467666667,200.0,1,0
5,1,3,0.987966666667,3000.0,3,0
3,1,5,4.52153333333,5000.0,5,0
5,1,5,4.55301666667,10.0,3,0
5,1,5,0.0,40.0,1,0
5,1,5,19.8825,100.0,1,0
5,5,5,0.0,150.0,1,0
1,1,5,0.0,50.0,3,0
5,3,5,0.493266666667,500.0,3,0
5,3,5,8.54966666667,10.0,1,0
5,1,5,0.0,1000.0,1,0
3,3,5,18.1116166667,200.0,1,0
5,3,5,0.0,250.0,5,0
3,1,5,21.4719833333,25.0,1,0
5,5,5,19.1435833333,10.0,5,0
5,1,5,12.3519666667,100.0,1,0
3,3,5,14.8278833333,200.0,1,0
5,3,5,52.5490166667,10.0,5,0
5,3,5,0.0,100.0,5,0
5,3,5,17.97345,100.0,1,0
3,3,5,11.9484166667,50.0,1,0
5,5,5,2.36883333333,500.0,3,0
3,1,5,35.7030833333,50.0,1,0
5,1,5,5.04601666667,1000.0,3,0
5,3,3,71.8712833333,100.0,3,0
5,3,5,0.668,60.0,5,0
5,5,5,0.0,1000.0,5,0
5,3,5,6.58586666667,50.0,1,0
1,1,5,89.7789333333,20.0,1,0
5,3,3,2.23576666667,150.0,5,0
3,3,1,1.28068333333,39.0,1,0
3,3,5,5.32683333333,200.0,1,0
5,3,5,35.1944333333,25.0,3,0
3,3,5,28.9948833333,10.0,1,0
3,5,5,72.7252833333,20.0,1,0
5,3,5,0.0,1500.0,1,0
5,3,5,0.0,500.0,5,0
5,3,5,0.0,50.0,5,0
3,3,3,74.7014,500.0,5,0
5,3,5,15.05155,304.0,3,0
1,1,1,2.49836666667,20000.0,1,0
5,1,5,56.1876166667,5.0,3,0
5,3,5,106.765116667,1000.0,5,0
1,1,3,20.4975666667,100.0,1,0
3,3,5,31.1774333333,200.0,3,0
5,3,5,23.1584,500.0,5,0
1,3,5,83.8301333333,200.0,1,0
5,3,5,10.7370833333,19.38,1,0
5,5,1,2.76991666667,50.0,3,0
3,1,5,33.3147333333,1000.0,3,0
1,5,5,5.60391666667,500.0,1,0
3,1,3,19.7094333333,100.0,1,0
1,1,3,13.6891333333,1000.0,1,0
